elapsed_seconds,gameplay_number,zombies_killed,trash_collected,leftover_trash,alive_zombies,bullets_fired,score
5,1,0,0,75,0,0,0
10,1,0,0,75,3,0,0
15,1,0,6,69,3,0,60
20,1,2,6,69,1,21,160
25,1,3,6,69,0,32,210
30,1,3,9,66,3,32,240
35,1,3,16,59,3,33,310
40,1,5,17,58,1,40,420
45,1,6,17,58,0,49,470
50,1,6,17,58,2,49,470
55,1,6,25,50,2,49,550
60,1,8,25,50,0,70,650
65,1,8,29,46,5,70,690
70,1,9,30,45,4,86,750
75,1,10,30,45,3,96,800
80,1,10,30,45,3,96,800
85,1,11,30,45,2,106,850
90,1,11,35,40,6,106,900
95,1,12,35,40,7,115,950
100,1,12,44,31,12,119,1040
105,1,13,48,27,11,127,1130
110,1,16,48,27,8,143,1280
115,1,16,49,26,8,143,1290
120,1,16,49,26,8,151,1290
125,1,19,49,26,5,171,1440
130,1,19,54,21,5,171,1490
135,1,19,54,21,5,171,1490
140,1,19,54,21,5,171,1490
145,1,19,56,29,3,171,1510
150,1,19,59,26,6,173,1540
155,1,20,60,25,5,183,1600
160,1,20,60,25,5,187,1600
165,1,21,60,25,4,193,1650
170,1,22,60,25,5,201,1700
175,1,22,62,23,5,201,1720
180,1,22,62,64,0,201,1720
185,1,22,62,64,0,201,1720
190,1,22,70,56,4,201,1800
195,1,23,70,56,3,212,1850
200,1,24,70,56,2,224,1900
205,1,25,72,54,1,235,1970
210,1,25,77,49,5,235,2020
215,1,27,77,49,3,252,2120
220,1,28,77,49,2,261,2170
225,1,28,85,41,15,261,2250
230,1,28,91,35,20,261,2310
235,1,28,98,28,20,261,2380
240,1,28,105,21,23,261,2450
245,1,30,107,19,21,280,2570
250,1,30,107,19,27,280,2570
255,1,31,112,14,26,292,2670
260,1,34,112,14,23,323,2820
265,1,36,112,14,21,337,2920
270,1,36,114,12,21,337,2940
275,1,36,114,12,21,337,2940
280,1,36,114,39,0,337,2940
285,1,36,114,39,0,337,2940
290,1,37,114,39,4,351,2990
295,1,39,114,39,2,366,3090
300,1,39,119,34,2,366,3140
305,1,39,125,28,5,371,3200
310,1,41,125,28,3,399,3300
315,1,42,125,28,6,402,3350
320,1,42,125,28,6,409,3350
325,1,44,127,26,4,418,3470
330,1,45,127,26,3,428,3520
335,1,45,132,21,7,428,3570
340,1,47,132,21,5,451,3670
345,1,49,133,20,3,466,3780
350,1,49,133,20,3,471,3780
355,1,50,134,19,6,479,3840
360,1,50,134,40,0,479,3840
365,1,50,135,39,9,483,3850
370,1,52,135,39,7,496,3950
375,1,53,137,37,6,504,4020
380,1,54,138,36,8,513,4080
385,1,54,139,35,8,524,4090
390,1,55,139,35,11,528,4140
395,1,55,142,32,15,531,4170
400,1,58,142,32,12,560,4320
405,1,59,146,28,11,566,4410
410,1,59,147,27,11,566,4420
415,1,59,147,27,11,566,4420
420,1,59,147,68,0,566,4420
425,1,59,147,68,5,566,4420
430,1,59,153,62,5,566,4480
435,1,61,153,62,3,595,4580
440,1,63,154,61,1,604,4690
445,1,63,154,61,11,605,4690
450,1,65,154,61,9,625,4790
455,1,66,158,57,8,631,4880
460,1,67,159,56,7,641,4940
465,1,68,159,56,6,650,4990
470,1,68,161,54,10,652,5010
475,1,68,169,46,16,652,5090
480,1,68,171,44,16,652,5110
485,1,68,171,44,16,652,5110
490,1,68,171,32,0,652,5110
495,1,68,175,28,12,652,5150
500,1,68,175,28,12,652,5150
505,1,68,175,50,0,652,5150
